jenis_sepatu,suhu,kelembapan,tingkat_kebasahan,ketebalan_bahan,waktu
Mesh,41.1,41.5,basah,sedang,255
Mesh,40.9,56.1,sedang,sedang,224
Mesh,37.7,24.5,basah,sedang,261
Mesh,41.3,52.1,sedang,sedang,219
Mesh,36.7,51.3,sedang,tipis,232
Mesh,33.2,52.5,ringan,tipis,208
Mesh,33.0,86.7,sedang,sedang,299
Mesh,37.4,85.0,ringan,sedang,258
Mesh,35.0,52.8,ringan,tebal,264
Mesh,36.5,42.8,basah,tebal,297
Mesh,35.5,54.3,basah,sedang,290
Mesh,33.1,77.3,ringan,sedang,265
Mesh,33.2,86.4,sangat_basah,tebal,410
Mesh,38.6,41.1,ringan,sedang,213
Mesh,43.8,36.4,sangat_basah,tebal,324
Mesh,36.0,49.9,basah,tipis,279
Mesh,40.3,24.3,basah,tipis,243
Mesh,36.5,58.5,basah,tipis,288
Mesh,43.5,54.5,basah,sedang,256
Mesh,37.4,24.4,basah,sedang,271
Mesh,38.8,20.2,basah,sedang,263
Mesh,35.7,42.2,basah,sedang,280
Mesh,36.6,67.5,sangat_basah,sedang,364
Mesh,38.6,51.3,sedang,tebal,266
Mesh,42.5,71.5,basah,tipis,256
Mesh,41.1,53.0,ringan,sedang,200
Mesh,35.5,86.1,basah,sedang,322
Mesh,39.5,76.4,basah,tipis,276
Mesh,40.0,89.3,ringan,sedang,255
Mesh,33.6,35.1,sedang,tebal,287
Mesh,42.9,69.2,sedang,tipis,225
Mesh,42.8,64.4,basah,sedang,283
Mesh,41.1,92.4,basah,sedang,300
Mesh,36.0,57.0,ringan,sedang,224
Mesh,38.7,51.9,basah,tipis,252
Mesh,40.5,76.1,sangat_basah,tipis,325
Mesh,43.9,88.9,basah,sedang,288
Mesh,33.7,29.1,sedang,tebal,265
Mesh,43.6,23.2,sangat_basah,sedang,291
Mesh,36.9,27.3,sedang,sedang,230
Mesh,36.1,27.5,sedang,sedang,228
Mesh,39.6,73.4,sedang,sedang,262
Mesh,32.9,94.5,sedang,tipis,298
Mesh,35.9,67.6,sedang,tipis,248
Mesh,36.8,60.0,sedang,sedang,269
Mesh,42.9,68.9,ringan,sedang,223
Mesh,32.6,73.3,sangat_basah,sedang,369
Mesh,43.3,46.7,ringan,tebal,206
Mesh,40.3,25.1,ringan,sedang,190
Mesh,36.7,60.5,basah,tebal,332
Mesh,35.7,38.5,sangat_basah,tipis,320
Mesh,43.6,45.5,ringan,sedang,194
Mesh,44.1,34.9,basah,tebal,279
Mesh,38.1,22.9,sangat_basah,sedang,319
Mesh,42.6,45.2,sangat_basah,sedang,318
Mesh,33.4,54.9,sedang,sedang,259
Mesh,35.6,35.5,sedang,sedang,254
Mesh,38.2,57.6,sedang,tipis,229
Mesh,35.9,30.9,basah,sedang,289
Mesh,40.8,36.2,basah,sedang,261
Mesh,41.4,26.3,basah,tipis,226
Mesh,34.6,81.5,sangat_basah,sedang,380
Mesh,33.8,33.4,basah,sedang,283
Mesh,38.1,80.7,ringan,tipis,228
Mesh,36.5,90.8,sedang,sedang,277
Mesh,41.2,44.0,sedang,tipis,209
Mesh,44.1,43.6,ringan,sedang,190
Mesh,39.6,76.4,sedang,sedang,265
Mesh,42.5,32.5,sedang,tipis,203
Mesh,38.6,42.3,basah,tebal,288
Mesh,43.3,26.7,basah,sedang,257
Mesh,35.4,40.4,basah,tipis,263
Mesh,32.2,55.5,sedang,sedang,270
Mesh,35.6,21.5,sangat_basah,tipis,315
Mesh,38.8,28.2,basah,sedang,278
Mesh,35.2,21.0,ringan,tebal,247
Mesh,37.1,55.2,basah,sedang,297
Mesh,34.7,77.8,basah,tipis,306
Mesh,41.2,46.2,sangat_basah,tipis,292
Mesh,41.9,37.3,ringan,tipis,180
Mesh,43.9,60.2,sedang,sedang,241
Mesh,33.7,65.9,sangat_basah,tipis,339
Mesh,32.0,93.5,sangat_basah,sedang,402
Mesh,37.1,83.9,basah,tebal,350
Mesh,44.8,78.1,sangat_basah,sedang,345
Mesh,44.0,42.8,basah,sedang,257
Mesh,44.1,49.8,ringan,sedang,187
Mesh,42.7,27.9,sedang,tebal,250
Mesh,41.9,46.1,sangat_basah,tebal,332
Mesh,35.6,71.8,ringan,tipis,235
Mesh,33.5,76.1,sangat_basah,tebal,398
Mesh,34.7,71.6,basah,tipis,291
Mesh,38.6,76.8,basah,tipis,295
Mesh,35.2,68.6,sangat_basah,sedang,350
Mesh,36.2,29.5,sedang,sedang,230
Mesh,43.3,85.4,sangat_basah,sedang,346
Mesh,43.5,68.6,ringan,sedang,218
Mesh,37.9,83.4,ringan,tipis,235
Mesh,41.6,75.0,sedang,sedang,247
Mesh,38.8,53.5,basah,sedang,291
Mesh,37.7,78.4,basah,tebal,337
Mesh,40.1,54.3,sedang,sedang,235
Mesh,40.5,62.1,sedang,tebal,281
Mesh,43.8,32.2,sedang,tipis,195
Mesh,35.2,29.2,sedang,sedang,243
Mesh,34.3,55.0,sedang,sedang,253
Mesh,41.0,40.8,basah,sedang,258
Mesh,34.9,46.8,basah,tipis,271
Mesh,34.9,80.1,sedang,sedang,272
Mesh,43.3,89.0,sedang,sedang,254
Mesh,41.9,80.8,basah,tebal,310
Mesh,40.0,53.4,basah,sedang,268
Mesh,41.9,28.0,sedang,sedang,204
Mesh,36.6,61.8,basah,tipis,267
Mesh,36.0,45.6,sedang,tebal,283
Mesh,42.4,59.9,sedang,sedang,246
Mesh,36.4,78.1,sangat_basah,tebal,386
Mesh,43.0,90.9,sangat_basah,tipis,345
Mesh,36.2,70.2,basah,tebal,334
Mesh,39.7,66.8,sangat_basah,tebal,355
Canvas,41.1,54.0,basah,tipis,282
Canvas,41.4,30.2,basah,sedang,298
Canvas,35.8,92.9,ringan,sedang,292
Canvas,36.4,62.3,ringan,sedang,268
Canvas,37.1,83.2,ringan,tipis,278
Canvas,40.8,67.5,sangat_basah,sedang,378
Canvas,35.2,48.9,basah,sedang,338
Canvas,42.1,63.9,sedang,sedang,288
Canvas,39.2,93.2,sedang,tipis,300
Canvas,40.5,90.2,sangat_basah,sedang,405
Canvas,42.7,31.5,sedang,tipis,230
Canvas,33.5,23.9,basah,tipis,304
Canvas,44.2,28.8,sedang,sedang,250
Canvas,33.3,60.9,sedang,sedang,315
Canvas,37.0,61.7,sedang,tebal,314
Canvas,36.6,78.9,ringan,sedang,298
Canvas,43.8,49.2,ringan,sedang,231
Canvas,42.8,47.5,ringan,tebal,258
Canvas,44.7,40.1,basah,tebal,298
Canvas,39.5,22.3,sedang,tipis,249
Canvas,44.5,57.0,basah,sedang,309
Canvas,44.3,38.5,ringan,tipis,203
Canvas,37.9,49.5,sedang,tebal,295
Canvas,43.1,84.9,basah,tebal,352
Canvas,40.8,92.8,basah,tipis,328
Canvas,33.3,83.2,basah,tebal,387
Canvas,32.6,35.1,basah,tebal,348
Canvas,36.9,62.8,basah,tipis,316
Canvas,38.7,61.8,sangat_basah,sedang,378
Canvas,40.6,61.8,sangat_basah,tipis,362
Canvas,43.2,86.5,basah,sedang,332
Canvas,34.5,92.6,basah,sedang,385
Canvas,37.0,31.9,ringan,tipis,226
Canvas,36.1,74.0,ringan,tipis,267
Canvas,36.3,34.0,sedang,sedang,291
Canvas,44.8,48.4,sangat_basah,tipis,329
Canvas,42.7,27.0,sangat_basah,tebal,359
Canvas,40.3,94.7,sedang,tebal,354
Canvas,37.2,74.5,sangat_basah,sedang,412
Canvas,41.9,60.3,basah,tebal,330
Canvas,33.0,53.2,ringan,sedang,269
Canvas,38.3,53.7,sedang,sedang,288
Canvas,40.1,38.1,basah,tipis,272
Canvas,37.3,82.0,basah,sedang,351
Canvas,37.6,48.9,sedang,tipis,250
Canvas,32.8,60.4,sangat_basah,sedang,399
Canvas,41.6,51.0,sedang,tipis,255
Canvas,40.3,57.5,sedang,tipis,263
Canvas,37.7,72.8,sedang,tipis,277
Canvas,38.2,20.8,sangat_basah,tebal,377
Canvas,39.4,74.7,sedang,sedang,310
Canvas,42.8,49.5,sedang,sedang,253
Canvas,44.8,26.0,sangat_basah,tipis,321
Canvas,40.8,43.0,sedang,tebal,277
Canvas,43.4,25.3,sedang,tebal,284
Canvas,35.3,57.3,sedang,tipis,292
Canvas,37.1,40.0,basah,sedang,310
Canvas,44.9,62.0,sangat_basah,sedang,356
Canvas,37.7,70.4,sangat_basah,sedang,400
Canvas,42.7,23.6,ringan,sedang,235
Canvas,33.0,63.8,sedang,tebal,347
Canvas,35.5,53.0,sedang,tipis,281
Canvas,32.6,71.0,basah,sedang,375
Canvas,43.0,35.4,ringan,tipis,214
Canvas,33.4,25.4,basah,sedang,321
Canvas,43.2,77.5,sedang,sedang,289
Canvas,33.0,79.2,ringan,sedang,292
Canvas,34.1,45.2,sedang,tipis,279
Canvas,37.0,58.0,ringan,tipis,250
Canvas,38.1,71.5,basah,tebal,356
Canvas,44.9,36.6,sangat_basah,tipis,320
Canvas,34.1,23.0,basah,sedang,337
Canvas,39.3,43.1,sedang,tebal,295
Canvas,38.1,73.5,ringan,tipis,261
Canvas,32.0,47.2,ringan,sedang,272
Canvas,44.7,42.2,sedang,sedang,244
Canvas,35.0,75.9,sedang,tipis,312
Canvas,41.2,74.7,sedang,tebal,310
Canvas,42.2,55.9,basah,sedang,305
Canvas,44.9,24.3,sedang,sedang,244
Canvas,35.7,83.4,sangat_basah,tipis,404
Canvas,32.7,29.5,basah,sedang,344
Canvas,32.3,69.5,sedang,sedang,328
Canvas,36.4,73.9,sedang,tebal,343
Canvas,39.3,68.2,sangat_basah,tebal,422
Canvas,35.2,83.3,basah,sedang,364
Canvas,43.2,36.0,basah,sedang,288
Canvas,38.5,28.8,basah,tipis,284
Canvas,35.2,35.3,basah,sedang,326
Canvas,33.7,56.3,sedang,tebal,322
Canvas,39.9,74.6,ringan,sedang,269
Canvas,38.5,78.3,sangat_basah,tipis,372
Canvas,37.8,60.7,sangat_basah,tipis,370
Canvas,39.3,77.1,sangat_basah,tebal,413
Canvas,44.1,25.4,sedang,sedang,242
Canvas,36.1,36.0,sedang,tipis,248
Canvas,38.0,42.0,basah,tebal,327
Canvas,40.6,21.3,basah,tebal,318
Canvas,41.2,29.3,basah,tipis,291
Canvas,42.0,88.7,ringan,tipis,261
Canvas,36.8,90.8,basah,sedang,362
Canvas,41.9,73.8,basah,tebal,349
Canvas,35.9,70.3,ringan,sedang,290
Canvas,42.8,88.4,sedang,sedang,298
Canvas,44.2,74.5,basah,tebal,347
Canvas,35.0,38.2,sedang,tebal,315
Canvas,44.9,20.7,sedang,tipis,215
Canvas,41.1,69.4,basah,tebal,357
Canvas,41.2,26.6,basah,tipis,279
Canvas,44.6,39.7,sedang,tipis,220
Canvas,40.8,62.5,sedang,tebal,311
Canvas,34.4,76.1,ringan,tebal,320
Canvas,42.8,82.5,sedang,tipis,263
Canvas,33.4,77.9,basah,tebal,387
