jenis_sepatu,suhu_awal,kelembapan_awal,suhu_akhir,kelembapan_akhir,lama_pengeringan
Leather,25.5,60.8,46.0,1.2,165
Leather,25.4,60.6,45.7,1.4,167
Leather,25.4,60.8,46.2,0.4,163
Leather,25.5,60.0,45.4,0.6,167
Leather,25.6,59.3,45.1,0.7,178
Leather,25.5,60.0,45.7,0.1,166
Leather,25.6,59.3,44.6,1.9,172
Leather,25.6,59.8,44.7,1.0,174
Leather,25.4,60.7,45.0,1.3,175
Leather,25.6,59.4,46.4,1.6,151
Leather,25.7,60.7,45.7,1.8,168
Leather,25.5,59.5,46.2,0.7,161
Leather,25.5,60.0,44.8,1.6,171
Leather,25.4,60.5,45.9,1.5,170
Leather,25.6,59.1,45.2,0.2,171
Leather,25.5,59.1,45.1,0.7,175
Leather,25.6,60.2,46.3,0.9,165
Leather,25.6,60.1,46.0,1.0,162
Leather,25.6,59.8,44.6,0.2,176
Leather,25.5,60.0,46.3,0.5,161
Leather,25.5,60.4,45.0,0.2,170
Leather,25.7,60.5,45.8,1.7,165
Leather,25.6,59.4,46.3,1.1,158
Leather,25.5,59.8,46.1,1.7,162
Leather,25.4,60.0,45.3,0.4,169
Leather,25.7,59.6,45.5,1.4,164
Leather,25.5,60.8,46.4,0.5,154
Leather,25.5,59.1,45.7,1.0,165
Leather,25.4,59.5,46.3,0.5,161
Leather,25.7,59.5,45.8,1.5,160
Leather,25.5,60.4,45.2,1.3,175
Leather,25.4,60.6,45.1,0.4,181
Leather,25.4,60.1,45.9,0.0,158
Leather,25.6,59.3,45.9,0.8,165
Leather,25.7,59.3,45.2,0.2,174
Leather,25.6,60.1,45.6,0.5,162
Leather,25.4,60.7,46.3,1.3,158
Leather,25.6,60.7,46.3,1.6,157
Leather,25.6,59.2,44.8,1.8,174
Leather,25.4,59.3,45.6,1.4,163
Leather,25.6,59.4,45.9,0.5,170
Leather,25.6,60.6,45.8,1.1,164
Leather,25.4,59.7,45.0,0.5,172
Leather,25.7,60.2,46.1,1.0,166
Leather,25.6,59.9,44.9,1.4,168
Leather,25.7,60.8,46.3,0.7,167
Leather,25.4,60.8,45.4,1.9,167
Leather,25.7,59.6,44.8,1.1,166
Leather,25.7,60.3,45.6,0.2,169
Leather,25.7,60.4,45.9,1.4,161
Leather,25.5,59.6,46.1,1.6,166
Leather,25.6,60.2,45.9,1.6,181
Leather,25.7,59.6,45.3,0.2,167
Leather,25.5,60.0,45.1,1.2,173
Leather,25.4,59.1,46.1,0.7,163
Leather,25.6,59.4,45.7,0.2,161
Leather,25.4,60.0,45.6,1.3,158
Leather,25.6,59.5,45.4,0.2,170
Leather,25.4,60.8,46.2,1.4,159
Leather,25.4,59.5,45.6,1.4,166
Leather,25.6,59.5,46.4,1.5,171
Leather,25.5,59.5,45.2,1.5,176
Leather,25.4,59.2,44.6,0.1,177
Leather,25.5,59.2,45.5,0.9,171
Leather,25.5,59.8,45.3,1.2,168
Leather,25.5,60.2,45.5,1.7,170
Leather,25.6,59.3,44.6,1.3,175
Leather,25.7,60.1,45.3,1.3,169
Leather,25.5,60.0,46.4,0.8,163
Leather,25.4,59.6,46.2,0.0,159
Leather,25.6,59.5,44.7,1.4,179
Leather,25.6,60.5,45.1,0.4,175
Leather,25.6,60.5,46.5,0.8,168
Leather,25.5,60.8,46.2,0.9,162
Leather,25.6,60.4,44.7,1.8,181
Leather,25.5,60.7,45.3,0.0,172
Leather,25.7,59.2,45.1,1.9,171
Leather,25.6,59.9,45.1,0.7,175
Leather,25.6,60.4,46.1,1.6,165
Leather,25.4,60.0,45.4,1.8,165
Leather,25.5,59.2,44.8,1.5,169
Leather,25.4,60.3,44.6,1.6,178
Leather,25.6,59.2,44.7,2.0,167
Leather,25.6,60.8,46.5,1.5,156
Leather,25.5,59.2,46.1,1.1,167
Leather,25.4,59.9,44.5,0.9,176
Leather,25.4,59.2,44.7,1.3,176
Leather,25.7,59.7,45.1,1.7,179
Leather,25.5,60.8,44.5,1.9,180
Leather,25.4,60.1,46.4,1.0,162
Leather,25.6,60.3,45.4,1.3,175
Leather,25.4,59.5,46.4,1.8,162
Leather,25.5,60.2,45.1,0.4,162
Leather,25.6,59.1,46.4,2.0,157
Leather,25.6,60.0,45.1,1.6,168
Leather,25.7,60.6,46.4,1.5,165
Leather,25.6,59.8,46.4,1.7,167
Leather,25.7,59.3,45.7,0.8,164
Leather,25.7,60.6,46.2,0.9,157
Leather,25.4,60.6,46.1,2.0,162
Leather,25.7,60.1,46.0,1.9,163
Leather,25.5,59.2,46.4,1.2,163
Leather,25.5,60.3,45.7,0.7,170
Leather,25.6,60.5,45.5,1.7,166
Leather,25.6,60.1,46.3,0.8,166
Leather,25.6,59.4,44.8,0.0,180
Leather,25.5,60.1,45.3,0.9,169
Leather,25.6,60.5,45.3,1.2,175
Leather,25.7,60.8,44.8,1.9,168
Leather,25.5,60.9,45.5,0.7,171
Leather,25.6,59.5,44.7,0.3,176
Leather,25.5,59.7,46.3,0.9,157
Leather,25.6,59.3,44.9,0.1,170
Leather,25.5,59.2,44.7,0.9,170
Leather,25.5,59.7,45.5,1.4,165
Leather,25.7,60.7,44.6,0.6,179
Leather,25.6,60.4,44.9,0.4,173
Leather,25.6,59.7,45.4,1.5,158
Leather,25.4,59.5,45.9,1.8,180
Leather,25.4,59.9,45.6,0.5,174
Leather,25.5,59.7,44.5,0.6,173
Leather,25.4,60.7,45.7,1.4,163
Leather,25.6,59.9,44.7,1.1,181
Leather,25.5,59.2,45.1,0.7,173
Leather,25.6,60.1,45.2,2.0,165
Leather,25.4,59.3,45.0,0.3,174
Leather,25.5,59.5,44.8,1.8,174
Leather,25.5,60.9,44.7,0.8,173
Leather,25.7,60.6,46.1,0.5,168
Leather,25.7,60.1,45.6,0.6,164
Leather,25.6,59.4,45.1,0.9,163
Leather,25.4,60.2,45.1,1.2,173
Leather,25.4,59.9,45.6,0.1,164
Leather,25.4,60.9,45.1,1.6,172
Leather,25.5,60.3,46.0,1.2,153
Leather,25.5,60.8,46.2,1.9,161
Leather,25.4,60.4,46.4,0.4,163
Leather,25.6,60.6,44.8,1.6,175
Leather,25.5,59.3,44.8,1.6,175
Leather,25.5,60.7,45.3,1.6,181
Leather,25.5,59.7,45.4,0.6,169
Leather,25.5,60.7,45.3,1.1,180
Leather,25.7,60.2,44.7,1.9,168
Leather,25.4,60.5,45.7,1.1,174
Leather,25.7,60.5,44.8,0.6,180
Leather,25.4,60.1,46.0,1.8,161
Leather,25.5,60.6,44.7,1.7,175
Leather,25.6,59.3,45.0,1.4,167
Leather,25.6,60.2,45.9,1.1,162
Leather,25.5,60.7,45.7,0.8,163
Leather,25.5,60.8,44.8,1.2,181
Leather,25.4,60.7,46.4,1.1,164
Leather,25.6,60.8,45.9,0.3,177
Leather,25.5,60.4,46.4,1.9,169
Leather,25.5,59.2,46.5,1.7,160
Leather,25.6,59.8,44.6,0.7,181
Leather,25.6,59.0,45.2,0.8,174
Leather,25.5,59.7,46.0,0.9,165
Leather,25.5,59.9,44.8,0.4,161
Leather,25.7,59.7,45.7,1.3,167
Leather,25.4,60.3,44.9,1.9,173
Leather,25.4,60.9,45.5,1.2,165
Leather,25.4,60.4,44.9,1.8,172
Leather,25.4,59.9,45.6,0.1,165
Leather,25.6,59.9,45.5,0.9,175
Leather,25.4,59.3,46.2,1.9,152
Leather,25.5,59.5,45.8,0.8,170
Leather,25.4,59.4,45.0,1.3,178
Leather,25.4,59.2,46.1,0.4,156
Leather,25.4,59.5,45.9,1.7,168
Leather,25.6,59.8,45.8,0.4,169
Leather,25.4,59.2,44.9,0.1,171
Leather,25.5,60.1,45.3,1.8,168
Leather,25.5,59.7,45.7,0.5,172
Leather,25.6,59.8,45.6,0.9,169
Leather,25.6,59.3,46.2,1.0,162
Leather,25.7,60.5,45.4,0.0,172
Leather,25.6,59.5,44.8,1.7,165
Leather,25.7,60.0,44.8,0.5,176
Leather,25.5,60.1,45.8,1.7,162
Leather,25.5,59.0,44.8,1.8,174
Leather,25.6,60.3,44.9,1.8,179
Leather,25.5,59.7,45.5,0.1,171
Leather,25.4,60.1,45.0,0.8,170
Leather,25.5,59.7,45.9,0.6,160
Leather,25.6,60.8,46.0,0.4,180
Leather,25.4,59.5,45.7,0.1,179
Leather,25.5,60.5,44.7,0.2,176
Leather,25.6,59.9,45.9,0.9,169
Leather,25.6,60.3,45.0,1.2,171
Leather,25.5,59.2,46.3,0.3,161
Leather,25.5,60.0,46.2,1.5,167
Leather,25.6,60.3,45.9,1.7,166
Leather,25.5,60.9,46.4,0.1,155
Leather,25.6,60.8,44.9,1.1,170
Leather,25.7,60.8,46.4,0.9,169
Leather,25.7,60.6,45.1,1.7,174
Leather,25.5,59.2,44.7,1.4,171
Leather,25.5,60.4,44.6,0.6,181
Leather,25.5,60.2,46.3,1.2,164
Leather,25.5,59.0,46.2,0.0,162
Leather,25.7,60.5,46.5,0.7,167
Leather,25.6,59.8,45.5,1.3,166
Leather,25.5,60.4,45.0,0.2,181
Leather,25.5,59.5,45.1,0.5,171
Leather,25.5,60.3,44.9,1.9,176
Leather,25.6,59.2,45.3,1.8,169
Leather,25.6,59.3,46.5,0.5,163
Leather,25.7,60.2,45.7,1.0,165
Leather,25.5,59.4,46.1,0.7,160
Leather,25.4,60.8,46.3,1.9,171
Leather,25.6,59.3,46.1,0.4,160
Leather,25.5,60.0,45.7,1.2,164
Leather,25.7,60.8,46.2,1.6,163
Leather,25.6,60.0,44.7,0.8,169
Leather,25.6,59.9,44.7,0.4,172
Leather,25.6,59.1,46.2,1.0,174
Leather,25.6,59.7,45.9,1.1,163
Leather,25.5,60.7,46.1,1.3,170
Leather,25.6,60.3,45.7,1.5,171
Leather,25.4,60.7,46.2,0.1,164
Leather,25.5,60.4,44.8,1.6,176
Leather,25.6,60.0,44.5,0.6,178
Leather,25.6,59.5,45.8,1.1,166
Leather,25.6,59.2,46.0,1.1,163
Leather,25.6,60.8,44.7,1.9,178
Leather,25.6,59.1,45.1,1.4,171
Leather,25.5,60.2,44.6,1.7,173
Leather,25.7,60.8,46.0,0.3,174
Leather,25.6,59.8,45.0,2.0,172
Leather,25.5,59.9,44.8,1.6,169
Leather,25.4,60.3,45.8,0.5,171
Leather,25.7,59.3,45.4,1.9,178
Leather,25.5,59.5,46.5,0.8,155
Leather,25.7,59.4,44.9,0.1,166
Leather,25.7,59.9,46.4,0.4,169
Leather,25.7,60.5,46.0,1.7,169
Leather,25.4,59.1,46.3,1.2,167
Leather,25.6,59.9,44.7,0.3,172
Leather,25.5,59.9,44.6,1.2,181
Leather,25.5,60.5,45.1,0.9,171
Leather,25.6,59.6,45.9,1.7,153
Leather,25.6,59.1,45.5,0.2,167
Leather,25.6,60.3,45.6,0.0,163
Leather,25.5,60.0,44.7,0.7,170
Leather,25.6,60.3,46.1,0.4,163
Leather,25.5,59.2,45.8,1.4,165
Leather,25.6,60.7,45.9,1.6,164
Leather,25.5,60.5,44.7,1.8,181
Leather,25.5,60.2,45.6,1.5,170
Leather,25.4,59.1,45.0,0.3,170
Leather,25.7,59.6,44.9,1.6,175
Leather,25.6,59.9,45.6,1.4,168
Leather,25.5,60.3,44.6,0.1,177
Leather,25.5,59.9,46.2,1.5,161
Leather,25.5,59.7,46.5,0.1,168
Leather,25.7,60.1,45.4,1.5,175
Leather,25.7,59.8,45.1,1.2,172
Leather,25.7,59.4,45.7,1.3,163
Leather,25.6,60.7,44.9,0.5,177
Leather,25.7,59.3,46.2,1.0,165
Leather,25.5,60.0,45.2,1.2,170
Leather,25.4,59.7,46.4,0.5,155
Leather,25.6,59.2,46.4,0.9,166
Leather,25.5,59.1,44.8,1.0,178
Leather,25.5,59.5,45.7,1.4,164
Leather,25.5,59.3,44.6,1.5,173
Leather,25.7,60.5,45.7,1.7,179
Leather,25.5,59.2,45.0,0.1,175
Leather,25.4,59.2,45.4,1.9,168
Leather,25.5,60.0,44.6,0.3,181
Leather,25.5,60.0,45.5,1.3,171
Leather,25.4,59.1,45.1,1.4,173
Leather,25.7,59.2,45.8,0.9,160
Leather,25.7,59.3,45.9,1.7,165
Leather,25.5,60.2,46.2,1.1,166
Leather,25.4,60.8,45.9,1.4,171
