jenis_sepatu,suhu,kelembapan,tingkat_kebasahan,ketebalan_bahan,waktu
Mesh,41.0,83.8,sangat_basah,tipis,175
Mesh,39.2,63.9,sangat_basah,tipis,181
Mesh,38.5,81.7,sangat_basah,tipis,187
Mesh,38.2,84.2,sangat_basah,tipis,184
Mesh,44.7,65.3,sangat_basah,tipis,153
Mesh,40.4,73.1,sangat_basah,tipis,168
Mesh,41.5,67.3,sangat_basah,tipis,160
Mesh,40.3,69.2,sangat_basah,tipis,172
Mesh,41.6,79.6,sangat_basah,tipis,169
Mesh,42.7,61.2,sangat_basah,tipis,153
Mesh,42.9,64.3,sangat_basah,sedang,173
Mesh,43.5,71.0,sangat_basah,sedang,174
Mesh,39.0,72.4,sangat_basah,sedang,194
Mesh,40.5,73.0,sangat_basah,sedang,178
Mesh,42.4,64.6,sangat_basah,sedang,182
Mesh,38.7,64.9,sangat_basah,sedang,190
Mesh,38.4,68.1,sangat_basah,sedang,182
Mesh,44.6,68.9,sangat_basah,sedang,168
Mesh,40.2,73.6,sangat_basah,sedang,188
Mesh,38.6,84.7,sangat_basah,sedang,191
Mesh,44.2,65.0,sangat_basah,tebal,199
Mesh,44.2,61.9,sangat_basah,tebal,197
Mesh,40.9,62.9,sangat_basah,tebal,204
Mesh,40.6,61.6,sangat_basah,tebal,208
Mesh,40.5,68.1,sangat_basah,tebal,209
Mesh,45.1,71.8,sangat_basah,tebal,199
Mesh,39.0,77.8,sangat_basah,tebal,213
Mesh,44.2,72.3,sangat_basah,tebal,203
Mesh,42.2,70.7,sangat_basah,tebal,200
Mesh,40.5,72.7,sangat_basah,tebal,203
Mesh,45.3,66.2,basah,tipis,143
Mesh,39.8,61.9,basah,tipis,147
Mesh,40.3,64.0,basah,tipis,154
Mesh,44.4,64.7,basah,tipis,139
Mesh,45.1,73.5,basah,tipis,132
Mesh,39.8,70.7,basah,tipis,150
Mesh,44.5,81.5,basah,tipis,140
Mesh,41.3,65.6,basah,tipis,145
Mesh,39.0,68.4,basah,tipis,153
Mesh,42.2,77.6,basah,tipis,148
Mesh,40.9,84.3,basah,sedang,155
Mesh,40.3,60.9,basah,sedang,163
Mesh,42.9,72.6,basah,sedang,157
Mesh,39.2,72.2,basah,sedang,171
Mesh,45.9,66.1,basah,sedang,154
Mesh,39.9,78.2,basah,sedang,172
Mesh,40.9,75.8,basah,sedang,168
Mesh,38.7,80.9,basah,sedang,185
Mesh,40.6,64.7,basah,sedang,164
Mesh,43.4,60.4,basah,sedang,151
Mesh,42.1,65.7,basah,tebal,172
Mesh,43.5,69.7,basah,tebal,178
Mesh,45.5,63.4,basah,tebal,163
Mesh,45.4,81.9,basah,tebal,170
Mesh,40.1,76.5,basah,tebal,188
Mesh,42.2,66.0,basah,tebal,186
Mesh,38.7,82.4,basah,tebal,194
Mesh,40.7,68.7,basah,tebal,188
Mesh,43.8,82.4,basah,tebal,179
Mesh,43.1,62.1,basah,tebal,177
Mesh,39.3,82.5,sedang,tipis,137
Mesh,38.0,64.0,sedang,tipis,132
Mesh,42.4,77.3,sedang,tipis,118
Mesh,43.7,65.9,sedang,tipis,123
Mesh,40.6,78.7,sedang,tipis,137
Mesh,43.3,74.2,sedang,tipis,124
Mesh,38.7,69.2,sedang,tipis,129
Mesh,45.8,69.8,sedang,tipis,109
Mesh,45.1,75.8,sedang,tipis,117
Mesh,42.6,72.3,sedang,tipis,132
Mesh,39.6,78.1,sedang,sedang,142
Mesh,45.5,83.8,sedang,sedang,135
Mesh,45.3,69.3,sedang,sedang,133
Mesh,45.7,81.3,sedang,sedang,131
Mesh,40.4,69.6,sedang,sedang,142
Mesh,39.4,73.9,sedang,sedang,154
Mesh,45.5,77.4,sedang,sedang,126
Mesh,42.9,84.8,sedang,sedang,141
Mesh,39.1,73.0,sedang,sedang,151
Mesh,43.6,77.6,sedang,sedang,140
Mesh,40.9,67.3,sedang,tebal,166
Mesh,44.9,82.8,sedang,tebal,157
Mesh,42.1,72.5,sedang,tebal,164
Mesh,43.6,79.9,sedang,tebal,164
Mesh,45.1,68.4,sedang,tebal,146
Mesh,42.6,60.9,sedang,tebal,155
Mesh,41.7,73.6,sedang,tebal,166
Mesh,38.2,60.9,sedang,tebal,160
Mesh,44.6,69.0,sedang,tebal,152
Mesh,44.2,65.4,sedang,tebal,146
Mesh,43.0,62.1,ringan,tipis,101
Mesh,42.3,75.9,ringan,tipis,101
Mesh,43.8,84.4,ringan,tipis,90
Mesh,44.4,66.8,ringan,tipis,98
Mesh,41.5,62.0,ringan,tipis,108
Mesh,41.3,64.3,ringan,tipis,111
Mesh,39.3,66.3,ringan,tipis,123
Mesh,43.3,67.0,ringan,tipis,103
Mesh,45.6,78.4,ringan,tipis,109
Mesh,41.4,66.2,ringan,tipis,112
Mesh,40.8,78.9,ringan,sedang,128
Mesh,41.8,62.4,ringan,sedang,124
Mesh,41.9,71.8,ringan,sedang,119
Mesh,41.2,75.4,ringan,sedang,116
Mesh,43.1,61.1,ringan,sedang,124
Mesh,42.0,81.4,ringan,sedang,114
